site	activeusers	admins	articles	edits	files	pages	users
string	number	number	number	number	number	number	number
site	activeusers	admins	articles	edits	files	pages	users
total.all	370063	5665	324071945	7012678607	108303334	621830895	210059115
total.wikipedia	289929	3540	62941698	3523504315	2810680	261906703	113635509
totalactive.wikipedia	289913	3526	62941668	3523193619	2810680	261900713	113577686
en.wikipedia	122498	859	6821000	1217915962	916729	60616907	47363018
total.wikimedia	41120	378	103417431	918810761	105290113	156296682	59411804
totalactive.wikimedia	41120	378	103417431	918810761	105290113	156296682	59411804
commons.wikimedia	36157	185	102242982	873434447	105284581	138735277	12645419
www.wikidata	25077	71	109624535	2146817150	0	114612015	6460508
total.wikidata	25077	71	109624535	2146817150	0	114612015	6460508
totalactive.wikidata	25077	71	109624535	2146817150	0	114612015	6460508
de.wikipedia	17540	174	2907600	243140508	129231	8013071	4363247
fr.wikipedia	17122	146	2610187	214426883	71655	13048096	4919217
es.wikipedia	14871	56	1951111	159497362	0	8163874	7135429
ja.wikipedia	13019	39	1414671	100071784	4522	4158603	2195449
ru.wikipedia	9570	68	1978036	137336163	251191	7965210	3575261
pt.wikipedia	8268	51	1124039	67717917	62073	5691615	3068745
it.wikipedia	7888	121	1862493	138870933	123952	7989748	2510853
zh.wikipedia	7458	63	1417822	82238038	67084	7696930	3507901
total.wiktionary	5771	566	39309108	286190047	3930	47734721	7279167
totalactive.wiktionary	5771	540	39308769	286063237	3930	47730368	7266347
fa.wikipedia	5382	34	1001525	39386892	90519	5679241	1308457
pl.wikipedia	4371	99	1613860	73511000	268	3725408	1305840
meta.wikimedia	3952	69	142487	26599111	1979	12323257	40951305
ar.wikipedia	3896	23	1232360	66723122	54117	8415217	2576105
nl.wikipedia	3685	34	2157848	67329840	20	4627963	1341901
he.wikipedia	3345	28	354072	38526041	79435	1501157	1161759
uk.wikipedia	3303	50	1322584	42380597	114211	4659754	747697
tr.wikipedia	3078	20	607078	32630990	40481	2966174	1583850
id.wikipedia	2388	47	692583	25652980	53958	3841842	1477188
cs.wikipedia	2375	32	545918	23863229	1	1532406	659616
en.wiktionary	2366	81	8017545	79152891	13	9450222	4181834
total.wikisource	2324	319	6034163	66350017	79771	20044582	4893994
totalactive.wikisource	2324	316	6034150	66346268	79769	20044428	4892775
ko.wikipedia	2210	30	667827	36880546	13810	3217721	840535
sv.wikipedia	2061	64	2584322	54591565	0	6237189	908369
total.wikiquote	1916	225	322568	11113659	1460	1110159	4262127
totalactive.wikiquote	1916	197	321930	10977635	1454	1100579	4247767
fi.wikipedia	1636	34	572490	22317142	76226	1491165	574918
vi.wikipedia	1557	15	1293208	71298304	26173	19468205	952731
simple.wikipedia	1539	19	251362	9505714	36	820287	1445251
hu.wikipedia	1497	25	541773	27054709	8992	1550425	561293
total.wikibooks	1330	248	377229	12259216	48451	1266095	4729655
totalactive.wikibooks	1330	193	376558	12063556	48215	1255654	4701007
ca.wikipedia	1318	28	751145	33415790	11466	1877332	481941
th.wikipedia	1237	18	164097	11465274	20964	1083644	474924
total.wikivoyage	1227	110	135176	10266526	19014	604177	2659914
totalactive.wikivoyage	1227	110	135176	10266526	19014	604177	2659914
no.wikipedia	1127	41	629158	24393649	4	1814211	609121
sr.wikipedia	1016	15	688912	27714878	37788	4129358	368662
bn.wikipedia	966	14	152321	7356710	18380	1240204	455338
el.wikipedia	965	22	235154	10538107	19019	683259	421228
hi.wikipedia	900	7	161486	6100595	4398	1317436	811586
ro.wikipedia	842	17	445783	16181756	117609	2758344	647889
et.wikipedia	757	34	245022	6638215	722	577900	192420
da.wikipedia	754	27	299638	11730387	2	944717	480341
uz.wikipedia	739	17	260142	4294736	3327	991101	132258
bg.wikipedia	700	23	298339	12203547	13	670802	343286
total.wikiversity	650	67	149448	6003629	43645	586105	3375151
totalactive.wikiversity	650	67	149448	6003629	43645	586105	3375151
az.wikipedia	627	14	199875	7596157	17123	565792	290640
total.wikinews	616	124	1753486	31261029	6270	17640441	3345217
totalactive.wikinews	615	119	1751335	30920305	6259	17616858	3333283
ms.wikipedia	613	15	372927	6173715	18425	1083257	335048
sk.wikipedia	576	11	248694	7822812	0	572087	249371
eu.wikipedia	561	12	431936	9767529	0	938312	160965
en.wikivoyage	559	36	32529	4872175	1815	171465	2306449
hy.wikipedia	513	10	308500	9927815	12118	1139455	143644
hr.wikipedia	501	13	220285	6919356	21860	468118	312559
fr.wiktionary	490	32	5549341	34438410	6	6164964	370527
kk.wikipedia	470	16	236593	3324901	11085	633732	156530
en.wikiquote	461	16	51212	3490743	0	206939	3181254
en.wikisource	408	23	1042037	14169840	16349	4308009	3124827
